Meisterzählung,D,A,B,C,E,F,G,W,Notizen
792,uon im wære uerſ#^w+nden,wæren gar v#aer+ſwunden,,,,waren verſwnden,,,
793,alſo was ſie an #lde+n ſtunden,alſo waz ir zeſtuden,,,,alſe waſ ſie anden ſtunden,,,
794,bechuket uon ir lei#lde+,gar chomen von laide,,,,bechomen von ir laide,,,
795,bed#siv+ #^w+nne vnd wêide,wunne v#and+ liebe pai#lde+,,,,wnne v#and+ waide,,,
796,unt vil ſtatigen ſegen,het ir d#aer+ engel geben,,,,v#and+ vil ſtetigen ſegen,,,
797,hete ir #lde+r engil gegeben,v#and+ ein#aen+ ſteten ſegen,,,,hete ir der engil gegeben,,,
798,,ire weip rief ſi ane,,#f4/C4+ […] rif ſi eine ,,ir wibe einer r#sov+fte ſie,,,
799,,die chomen alzeſaine,,di kom ir alleine ,,div chom ir alze ſeime,,,
800,do rufte ſie einer mage#lde+,do rief ſi d#aer+ magede,,do rif ſi aber d#aer+ meide ,,do r#sov+fte ſie der magede,,,
801,div #f14r+ was uil ungeſagede,,,di w[...]s vil vngeſch[…]de ,,div waſ vil vngeſagede,,,
802,ſie m#suo+ſe ir haren ofte,,,,,ſie m#svo+ſe ir harne ofte,,,
803,,d#aer+ waz niht leihte zeſagene,,,,,,,
804,,,,ſi rif vil ofte ,,,,,
805,mere dennez getohte,,,me den ez getochte ,,mere danne ir tohte,,,
806,iedoh uber lanch gie ſi dar,vber lank gie ſi dar,,uber lanc ginc ſi dar,,vber lanch gie ſie dar,,,
807,do ſprah d#siv+ tohter yſachar,,,do ſprach di tocht yſachar ,,do ſprah div tohter yſachar,,,
808,,do sp#ara+ch ſi zwar,,,,,,,
809,anna d#siv+ uil reine,#ra+nna div reine,,anna du reine ,,anna div raine,,,
810,ſage mir waz daz meine,nv ſage mir waz daz meine,,nv ſaga mir waz ez meine ,,nu ſage mir waſ daz maine,,,
811,wanne chum#?aet+ dir der geiſt,od#aer+ von wev chumt dir der geiſt,,wanne komet dir d#aer+geiſt,,wannen chvmet dir der gaiſt,,,
812,ſo du min angeſte wol wieſt,ſeit dv min angeſt wol weiſt,,ſo duminangeſt wol we[...]t ,,ſo du min angeſt wol waiſt,,,
813,daz du so ſtille dageſt,,,,,,,,
814,#avnd+ mir antwrte uerſageſt,,,,,,,,
815,,daz dv alſo trâgeſt,,daz d[…] ſch[…]ſt,,d#aaz+ dv ſo harte trageſt,,,
816,,v#and+ mich niht enfrageſt,,d[...] du mich nich[...] vrageſt ,,d#aaz+ dv mih nine frageſt,,,
817,,ob ich leb od#aer+ tot ſey,,weder ich lebe oder tot ſi ,,weder ih lebe oder tôt ſi,,,
818,du wæreſt mih billicher bi,dv wæriſt mir #f18r+ billeich bey,,du werſt mir billich#aen+ bi ,,dv weriſt mir bellichen bi,,,
819,#avnd+ ſæheſt wie min dinch ſten#lde+ sj,,,,,,,,
820,ob ich den lip wolte laben,ob ich den leib wolde laben,,ab ich den lip wolde laben ,,ob ih den lip wolti laben,,,
821,#f14v+ daz ich daz uon dir mæhte haben,,,,,,,,
822,,daz ich dirz mohte geſagen,,daz ich di mochte geſagen ,,d#aaz+ ih dir daz mahte geſagen,,,
823,Div maget begunde murmeln,div magt begunde murmen,,di maget begonde zurnen ,,#rD+iv maget begunde murmeln,,,
824,ungezonlichen zurnen,v#and+ hezzechlichen zvrnen,,vngezogenclichen murmeln ,,vngezogenlichen zvrnen,,,
825,ſi ſprah waz mag ich dir eine getun,ſi ſp#ara+ch waz moht ich dir get#suo+n,,ſi ſprach waz mochte ich dir eine getvn ,,ſi ſprah waz mahte ih dir aine getûn,,,
826,dune haſt die tohter noh d#lde+n ſun,dv hast toht#aer+ noch ſun ,,du enhaſt di tochter noch den ſvn ,,dune […],,,
827,din m#?a+n der hat dich uerlan,din man hat dich ver lazzen,,din man hat dich v#aer+lazen ,,,,,
828,nu wil #sov+h ich min #z?+ ſtraze gan,ich wil ouch mine ſtrazzen,,ich wil ouch mine ſtraze ,,,,,
829,an#lde+rhalben min dinch wen#lde+n,al von hinn#aen+ wenden ,,anderhalben wend#aen+,,,,,
830,ich kan ez wol uerenden,vn wil daz ſchier vol enden,,,,,,,
831,waz tuſtu zeliebe mir,,,,,,,,
832,ſwaz ih ie gedienot dir,,,,,,,,
833,des en han ich dan#?c+#zh+ noh lône,,,,,,,,
834,die fr#sov+e uertrugez ſchone,,,,,,,,
835,#avnd+ bewein#&+ doh #zdie+ itewîze,,,,,,,,
836,u#and+ ſwie ez wære an#lde+m imbize,,,,,,,,
837,ſie half dem libe alſo ſêine,,,,,,,,
838,,Mit ſolhen iteweizzen,,,,,,,
839,,ſo m#svo+ſt div vrowe enbeizzen ,,,,,,,
840,,ſi labt ſich vil chleine,,,,,,,
841,ir fr#sov+de wart gemiſk#&+ mit lei#lde+,ir frevde miſchte ſi mit weinen,,,,,,,
842,#iD+er engel fur hin umbe,#iD+#rE+er engel f#suo+r hin vmbe,,,,,,,
843,uon gotes ordenunge,von gotes ordenunge,,,,,,,
844,da er weſſe ioachim,da er weſte Ioachim,,,,,,,
845,inder #^w+ſte gieng er zu im,in die w#sue+ſte gie er z#svo+ im,,,,,,,
846,uf dem breiten gevilde,ouf dem gevilde,,,,,,,
847,in eines knappen bilde,in eines knappen bilde,,,,,,,
848,#avnd+ gruzte in alſo liſe,er gr#suo+zt in vil leiſe,,,,,,,
849,er ſprah herre uil wiſe,er ſp#ara+ch herre weiſe,,,,,,,
850,waz liſtu hie ſuſt eine,wes biſtu hie aleine,,,,,,,
851,wie haſtu dih geſcheiden,wie haſtu dich geſcheiden,,,,,,,
852,uon diner loblichen chonen,von diner lobelichen chonen,,,,,,,
853,wîe iſt d#siv+ unminne chomen,wie iſt div vnminne chomen,,,,,,,
854,weſ enuerſtv niht widere,var heim ſchir widere,,,,,,,
855,d#siv+ fr#sov+e iſt ſo biderbe,div vrowe iſt alſo biderbe,,,,,,,
856,daz du ſie wol troſten m#suo+ſt,daz dv ſi troſten m#suo+ſt,,,,,,,
857,v#and+ #sov+h wendeklichen tuſt,wan dv tumplichen t#suo+ſt,,,,,,,
858,daz du ſie læſt ſo lange friſt,daz du ſey laſt ſo lange friſt,,,,,,,
859,du uindeſt da daz dir liep iſt,,,,,,,,
860,,wan ſi zebarmen iſt,,,,,,,
861,,allem der ſey be ſchowet,,,,,,,
862,,doch hat ir wol gezowet,,,,,,,
863,,#f18v+ vm allez daz dir lieb iſt,,,,,,,
864,,nv ſoume dich lenger den heine friſt ,,,,,,,
865,nv uar heim zu den dinen,far heim z#svo+ den dinen,,,,,,,
866,la din gewizzen ſchinen,la dine tugende ſcheinen,,,,,,,
867,uar uz diſem ſteingeuelle,ovz diſem geſtein velle,,,,,,,
868,ſih waz dine #f15r+ chone welle,ſich waz dein weip welle,,,,,,,
869,heue dih uz diser chluſe,heb dich ouz der chlouſe,,,,,,,
870,dv m#suo+ſt heim zu dinem hûſe,var wider heim zehouſe,,,,,,,
871,#iD+o ſprah der herre ioachim,Do sp#ara+ch der herre #rI+oachim,,,,,,,
872,wand ihc ein ſundare bin,wan ich ein ſund#aer+ bin,,,,,,,
873,uon ſchulden not ih lide,da von ich not leide,,,,,,,
874,ich was bi minem wibe,ich waz bey minem weibe,,,,,,,
875,zweinzich iar uolle,zweinzik iar volle,,,,,,,
876,daz des got nien wolde,daz got des niht enwolde,,,,,,,
877,daz ich dehein herzewnne,,,,,,,,
878,noh liep mit kinde ge#^wnne,,,,,,,,
879,,daz enſamt erben,,,,,,,
880,,îe mohten erwerben,,,,,,,
881,waz ſcolt ih denne da ſuchen,waz ſol#lde+ ich nv da ſ#suo+chen,,,,,,,
882,iane wellent des niht ge#f15v+ruchen,ia wellent niht ger#suo+chen,,,,,,,
883,div irdiſkiv livte,yrdiſche levte,,,,,,,
884,daz ich mit miner brûte,daz ich mit min#aer+ brevte,,,,,,,
885,zu ir opfer geturre gan,z#svo+ ir opfer turre gan,,,,,,,
886,dar umbe muz ich hie beſtan,darum m#suo+z ich hie beſtan,,,,,,,
887,u#and+ ſus armeklichen leben,v#and+ ærmechlichen leben,,,,,,,
888,un#lde+ wil doh almuſen geben,min alm#suo+ſen geben,,,,,,,
889,iemer minem ſchepfære,minem sch#^æ+pfere,,,,,,,
890,#lde+r mih im zekamerare,der mich zechamerere,,,,,,,
891,gesetzet hat dar ubere,geſetzet hat dar vbere,,,,,,,
892,wærez mit miner ubele,were ez mit minem vbele,,,,,,,
893,ioh mit ſun#lde+n niht un#lde+ruangen,niht vnd#aer+vangen,,,,,,,
894,ez ware mir lihte baz ergangeN,ez wær mir baz ergangen,,,,,,,
895,#iD+es antwrte im der engel,#rD+es antwurte im d#aer+ engel do,,,,,,,
896,din leben iſt ane wandel,din leben iſt an wandel ſo,,,,,,,
897,ich bin #lde+s himele#zs+ bot frone,ich bin d#aer+ engel frone,,,,,,,
898,got hat dir geben zelone,got #f19r+ hat ge gæben dir zelone,,,,,,,
899,ein tohter bi dinem wibe,ein toht#aer+ bey deinem weibe,,,,,,,
900,div chom uon dinem libe,div chom von dinem leiben,,,,,,,
901,do dv ivngeſte ſchîede uon ir,do dv ze iungiſt ſchiet von ir,,,,,,,
902,uil mandunge ſage ich dir,daz ich ſage fur war dir,,,,,,,
903,din tohter d#siv+ wirt ſo lobeſâme,din toht#aer+ wirt ſo lobeſam,,,,,,,
904,daz aller menniſken name,,,,,,,,
905,,daz b#?ed#e weip v#and+ man,,,,,,,
906,ioh ell#siv+ himiliſk#siv+ ſchare,v#and+ auch div himeliſche ſchar,,,,,,,
907,div muz chnieuallen dare,m#sue+zzen knievallen dar,,,,,,,
908,da d#siv+ roſe ane dorn,,,,,,,,
909,ioh d#siv+ kungin here wirt geborn,,,,,,,,
910,,da ſi die chuniginnen,,,,,,,
911,,zetroste mvgen gewinnen,,,,,,,
912,nu uar indin geſæze,var heim in dein geſæzze,,,,,,,
913,wan ſwer dir herre mæzze,ſwer mit schatze mæzze,,,,,,,
914,diſen irdiſken gibel,diſen yrdiſchen gibel ,,,,,,,
915,hohe ûf unz an den himel,hoch vnz an den himel,,,,,,,
916,mit rotguldinen ſpelten,mit guldeinen ſpelten,,,,,,,
917,der enmæht dir daz k#ain+t niht uergelten,dein toht#aer+ moht er niht vergelten,,,,,,,
918,#iA+ls ioachim andem worte,#rA+ls #rI+oachim an dem wort,,,,,,,
919,den richen t#zro+ſt erhorte,den ſelben troſt erh#soe+rte,,,,,,,
920,fur den engel viel er bereite,,,,,,,,
921,daz er got un#lde+ im gnade ſæite ,,,,,,,,
922,er ſprah herre #f16r+ nu gewêr mich,,,,,,,,
923,einer bete #lde+r ih dinge andih,,,,,,,,
924,ob ich daz heil zedir han funden,,,,,,,,
925,,er ſovmte ſich niht lenger,,,,,,,
926,,er ſ#suo+cht fur den engel,,,,,,,
927,,ſeine venie ſchone,,,,,,,
928,,er sp#ara+ch z#svo+ dem poten vrone,,,,,,,
929,, won ein weile pei mir,,,,,,,
930,,ob ich zegot v#and+ z#svo+ dir,,,,,,,
931,,genade han erfunden ,,,,,,,
932,nu #zſo+ uergiz der minen ſunden,ſo v#aer+giz miner ſvn#aden+,,,,,,,
933,nu ich zeden eren ſie erwelt,ſeit ich ze den æren pin er welt,,,,,,,
934,uar ſam mir in min gezelt,ſo var mit mier in mein gezelt,,,,,,,
935,vnd enbizzen wir dar inne,v#and+ enbeizze wir #f19v+ da inne,,,,,,,
936,inder gotes minne,ind#aer+ gotes minne,,,,,,,
937,,v#and+ ger#suo+che dich erbarmen,,,,,,,
938,,vber mich vil armen,,,,,,,
939,daz mih din ſegen geſterche,daz mich dein ſegen ſterke,,,,,,,
940,zereiniklichem werche,in reinichlic#ahem+ werke,,,,,,,
941,der engel im antwrte,#rD+er engel im antwurtte,,,,,,,
942,got ſelbe mit ſinem worte,,,,,,,,
943,,mit senftechlichem worte,,,,,,,
944,der geruche dich geſegenen,ger#suo+che dich geſegenen ,,,,,,,
945,daz dir allez daz #f16v+ begegen,daz dir frevde begegenen,,,,,,,
946,daz dir liep muge ſin,v#and+ allez daz dir lieb iſt,,,,,,,
947,dune biſt niht der ſchalk min,,,,,,,,
948,dv biſt min huſgnozze,,,,,,,,
949,,min lieber frevnt dv biſt,,,,,,,
950,,v#and+ min#aer+ h#sov+ſgenozzen,,,,,,,
951,ein#aen+ herren haben wir grozzen,wir han einen herren grozzen,,,,,,,
952,der dich alles deſ gewert,der dich allez dez gewert,,,,,,,
953,des din diemût an in gert,des dein m#suo+t gen im gert,,,,,,,
954,er newil din niht uergezzen,er wil dein niht vergezzen,,,,,,,
955,min trinchen unt min ezzen,mit trinchen noch mit ezzen,,,,,,,
956,daz enmahtu niht beſc#sov+en,daz maht dv niht beſchowen ,,,,,,,
957,min fleiſklichen #sov+gen ,mit fleiſchen ougen,,,,,,,
958,daz iſt daz ewige lieht,daz iſt daz æwige lieht,,,,,,,
959,dune darft mih andingen n#sie+ht,dv darft mich andig#aen+ niht,,,,,,,
960,daz ich die dine ſpiſe,daz ich dine ſpeiſe,,,,,,,
961,zu minem munde wîſe,ze meinem mvnde weiſe,,,,,,,
962,nu brinch #lde+r gotes chrefte,dv brink d#aer+ gotes chrefte,,,,,,,
963,ſwaz du zewirtſchefte,ſwaz dv mir wirtſchefte,,,,,,,
964,mir hivte woldeſt bieten,hivte welleſt bieten,,,,,,,
965,ſo maht du dih gnaden nieten,,,,,,,,
966,,mit heiligen mieten,,,,,,,
967,,mit deinem opfer drate,,,,,,,
968,,al nach minem rate,,,,,,,
969,uon dines ſchepfæres gewalte,in deineſ ſchepfers gewalt ,,,,,,,
970,der din g#suo+te hat gezalte,d#aer+ al dein g#suo+t hat gezalt,,,,,,,
971,und allez din almuſen,v#and+ dein alm#svo+ſen,,,,,,,
972,treit inſin#aen+ buſem,treit in ſeinem b#svo+ſem,,,,,,,
973,daz du #?i+e begienge,daz dv îe begienge,,,,,,,
974,ſit du ſin gevîenge,ſeit dv ſein gevienge,,,,,,,
975,daz du im chundeſt gedienen,,,,,,,,
976,er wil #sov+h dich erchennen #avnd+ liebeN,,,,,,,,
977,#iD+er herre ilent gie,#iD+er herre eylinde gienk,,,,,,,
978,ein læmbel er geuîe,zehant er #f20r+ gevienk,,,,,,,
979,ein lamb ungemeiligot,ein lamp vngemailot,,,,,,,
980,als im #lde+r engil gebot,als im der engel gebot,,,,,,,
981,er ſprah ich engetorſtez niht getuN,er sp#ara+ch ich torſte ſein niht get#suo+n,,,,,,,
982,wan daz du mir rateſt darzu,wan daz dv mich herre darz#svo+,,,,,,,
983,#avnd+ mih ſîn haſt geſchund#&+,mit worten haſt geſchundet,,,,,,,
984,ſwaz ich nu han geſund#&+,ſwaz ich han geſvndet,,,,,,,
985,da hilf mir uon durh din gute,,,,,,,,
986,daz ich mit reinem gem#suo+te,,,,,,,,
987,,daz hilf mir ouf halden,,,,,,,
988,,gen got dem gewaldigen,,,,,,,
989,uor dir daz opfer bringe,vnz ich daz opfer bringe,,,,,,,
990,ia han ih #f17r+ des gedinge,ia iſt daz min gedinge,,,,,,,
991,daz ich geniezen m#suo+ze,daz ich geniezzen muezze,,,,,,,
992,daz ich dinen f#suo+zzen,daz ich bey deinem f#sue+zze,,,,,,,
993,alſo nahen biſten,hie alſo nahen stê,,,,,,,
994,untze die oblei ergeN,vnz daz obley er g#^æ+,,,,,,,
995,Do ſprah #lde+r engel g#suo+t,,,,,,,,
996,enweſſe ih niht in minem m#svo+t,,,,,,,,
997,daz din opfer liep wære,,,,,,,,
998,,#rD+o ſp#ara+ch d#aer+ engel weſſe ich niht,,,,,,,
999,,daz dine gedanke weren lieht,,,,,,,
1000,,v#and+ daz ez niht lieb wære,,,,,,,
1001,#lde+s himeles riht#^æ+re,dez himels rihtere,,,,,,,
1002,ſone hete ihz niht gefrum#&+,ſo hiet ich ez niht gefrumet,,,,,,,
1003,ſuſt wêiz ich daz ez dir chumet,Suſ waiz ich daz iz dir chumet,,,,,,,
1004,ze diner ſælicheit wol,,,,,,,,
1005,wand unſer re#lde+ damit ſchol,,,,,,,,
1006,uf der moltigen erde,,,,,,,,
1007,geûrchundet #f17v+ werden,,,,,,,,
1008,,als ez zerehte ſol,,,,,,,
1009,,dinen ſælden wol,,,,,,,
1010,do daz lamb was erſlagen,#rd+o daz lamp wart erſlagen,,,,,,,
1011,er ilet ſa holz zutragen,er eilte holz z#svo+ tragen,,,,#f4r+ […] tragen,,,
1012,#avnd leit ez uf einen ſtêin ,v#and+ warf ez #sov+f einen ſtain,,,,v#and+ warf ez vf ainen ſtain,,,
1013,er br#aan+t bediv fleiſh vn#lde+ bein,er prante fleiſch v#and+ pein,,,,er brande flaiſch v#and+ bain,,,
1014,do ſih #lde+r r#sov+ch uf bôvch,do ſich d#aer+ rouch ouf povk,,,,d#aaz+ ſich der r#sov+ch vf b#sov+ch,,,
1015,#lde+r engil aldamit fl#sov+ch,d#aer+ engel al da mit flouk,,,,der engel al da mite fl#sov+ch,,,
1016,,faſte gen den luften,,,,vaſte gen den l#sov+ften,,,
1017,,mit ſemft v#and+ mit zvht#aen+,,,,mit zæheren u#and+ mit zuhten,,,
1018,der herre geſtunt eîne,geſt#suo+nt der herre aleine,,,,geſtunt der herre eine,,,
1019,ſin herze was luter #avnd+ reine,mit louterm h#aer+zen reine,,,,ſin herze waſ luter u#and+ raine,,,
1020,#iS+in geb#&+ waſ im #avnd+ vnſ nutze,Sein gebet daz waz ſo nutze,,,,#iS+in gebet d#az+ waz ſo nvzze,,,
1021,mit zæhern uf ſin antlutze,#sov+f ſein antlvtze,,,,vf ſin antluzze ,,,
1022,viel er nider an daz graſ,viel er nid#aer+ ovf daz gras,,,,vil er nider uf daz graz,,,
1023,da er da opferend was,da er opfernde was,,,,da er opherende waſ,,,
1024,er lach bidem gecile,er lak bey dem zil,,,,er lach bi dem ge zile,,,
1025,uon der ſehſten wile,von d#aer+ sexten weil,,,,von der ſehſten wile,,,
1026,untze an die veſpercit,#f20v+ vnz an die veſper zeit,,,,vnze an die weſ#ape+rzit,,,
1027,ſo d#siv+ ſunne ſchatte git,ſo div ſunne ſchate geit,,,,ſô div ſunne ſchaten gît,,,
1028,do chomen ſin hirte,#rD+o quamen ſeine hirte,,,,#rD+o chomen ſine hyrten,,,
1029,hin zir herren #avnd+ ir wirte,z#svo+ ir herren v#and+ z#svo+ ir wirtte,,,,hin z#svo+ ir herren v#and+ z#svo+ ir wirete,,,
1030,ſi begunden gahen,ſi eilten alle gahen,,,,ilten ſie gahen,,,
1031,do ſi in erſahen,da ſi in da ſahen,,,,do ſie in ſahen,,,
1032,ligen inder molten,ligen inder molte,,,,nider ligen inder m#svo+lten,,,
1033,ſie wanden daz er wolte,ſi wanten daz er wolte,,,,ſie wanden d#aaz+ er wolte,,,
1034,ſih ſelben uerlieſen,ſich ſelben v#aer+lieſen,,,,ſich ſelben verlieſin,,,
1035,uor lei#lde+ den tot chieſen,vor laide den tot chieſen,,,,vor laide den tot kieſen,,,
1036,ſie ilten in ûfrihten,ſi eilten in #sov+f riht#aen+,,,,ſi ilten in vf rihten,,,
1037,er ſaget #sov+ch zir geſihte,er ſagte ze ir geſihten,,,,er ſagete #sov+ch ze ir geſichte,,,
1038,wie ez was ergangen,wie ez im waz ergangen,,,,wie ez ime ware ergangen,,,
1039,do wrden ſie beuangen,do wurden ſi bevangen,,,,do wrden ſie bevangen,,,
1040,mit fr#sov+den ioh mit uorhten,mit zeheren v#and+ mit vorihten,,,,mit ziteren i#sov+ch mit […]chten,,,
1041,an#lde+rs ſi nîen worhten,anders ſi niht worihten,,,,anderſ ſie nine worhten,,,
1042,wan daz ſie lobeten got,wan daz ſi lobt#aen+ got,,,,wan d#aaz+ ſie lobeten alle got,,,
1043,der uzzer angeſt #avnd+ not,der von ſorgen v#and+ ouz n#soe+t,,,,der uzzer angeſt v#and+ vzzer not,,,
1044,d#siv+ riwigen herze enbindet,die revgen h#aer+ze enbindet,,,,div rivwigen herze enbinden,,,
1045,ſwa er den gl#sov+ben vindet,ſwa er rehten gelawe vindet,,,,ſwa er den gel#sov+ben vindet,,,
1046,do was ez ir aller geræte,,,,,,,,
1047,daz er zehante ſa tæte,,,,,,,,
1048,nah den engeliſken worden,,,,,,,,
1049,,,,,,an den g#svo+ten u#and+ an den rehten,,,
1050,,#rD+o rieten dem man,,,,alle ſine knehte,,,
1051,,alle ſein vndertan,,,,die riêten dem hailigen man,,,
1052,,daz er des engels rat,,,,,,,
1053,,volget ander ſtat,,,,,,,
1054,,,,,,d#aaz+ er wrde gehorſam,,,
1055,,,,,,dem engil u#and+ ſinen worten,,,
1056,ſie ſprachen daz ſie uorhten,,,,,ſi ſprachen ſie vorhten,,,
1057,an#lde+rs d#aen+#ds+ gotes zorn,,,,,anderſ harte,,,
1058,ob er ſin gebot hete uerchorN,,,,,,,,
1059,,,,#f9r/C2+ … nicht mere,,,,,
1060,,,,er wurde gerauftbet sere,,er wrde gerefſet ſere,,,
1061,,,,an dem libe und an der sele,,andem libe v#and+ ander ſele,,,
1062,als er des nahtes entſliefe,#rA+ls er des nahtes entſlief,,als er des nachtes entslif,,#rA+lſ er deſ nahtes en ſlief,,,
1063,#f18r+ der engel im aue zurief,d#aer+ engel im aber z#svo+ rief,,der engel in aber rief,,der engil ime aver zv rief,,,
1064,wes ſumeſt du dih ioachim,wez ſovmeſt dv dich Ioachim,,wes sumes tu dich ioachim,,weſ ſumeſtu dich ioachim,,,
1065,anderſtunt ih bot zedir bin,anderſtunt ich bote pin,,an stunt ich böte bin,,anderſtunt ih bote bin,,,
1066,daz du heim mûzeſt uarn,daz dv heim ſolt varen,,daz du müst varn,,d#aaz+ dv heim m#svo+zeſt uaren,,,
1067,dune welleſt ez bewârn,,,du enwolles ez bewarn,,dv ne welliſt ez bewaren,,,
1068,,v#and+ ſolt dein weip bewaren,,,,,,,
1069,du engilteſt ſin zware,,,du müst des engeldon,,dv m#svo+ſt ez en geltin,,,
1070,daz anna lebet ſo ſware,,,daz anna nich vil selten,,d#aaz+ anna ſo ſelten,,,
1071,#avnd+ ſo diche nah dir weinen#lde+ wirt,,,nach dir weinen wirt,,nah dir vnweinende wirt,,,
1072,,ſeit ez alſo wirt,,,,,,,
1073,du weiſt wol daz ſie dir gebirt,daz ſi dir gebirt,,du weist wol daz j si gebirt,,dv waiſt wol d#aaz+ ſiv dir gebirt,,,
1074,eine tohter gute,eine toht#aer+ g#suo+te,,eine tochter gute,,aine tohter g#svo+te,,,
1075,d#siv+ iſt in gotes hûte,#?div+ iſt in gotes h#suo+te,,di ist in gotis hüte ,,div iſt ingotes h#svo+te,,,
1076,uon ewen #avnd+ ze êwen,,,von ewo zu even,,von ewen vnze ewen,,,
1077,wer ſchol dih diner eren flegeN,,,wi schal ich dich dinos wrum vlehen,,wie ſol ih dih diner fr#sov+me ſo flehen,,,
1078,,maniger ſele ſol #?ſi we+gen,,,,,,,
1079,,ze gotes g#sue+te v#and+ ze ſinem ſegen,,,,,,,
1080,#f18v+ #iA+n dem andern morgen,#iA+n dem andren morgen,,An dorne andern morgen,,IN dem andern morgen,,,
1081,do uerliez alle ſorgen,do v#aer+liez er ſein ſorgen,,do v#aer+liz er alle sorgen,,do ver liez er die ſorgen,,,
1082,er hub ſih #zvf+ gereit#aen+,er begunde ſich beraiten,,er hub sich ouf bereite,,er h#svo+p ſih vf gereite,,,
1083,#avnd+ enwolt niht mere bêiten,#f21r+ niht leng#aer+ wolt er baiten,,er wolte nicht lenger bcite,,er ne wolte niht baiten,,,
1084,er ſaget ſinem lîvte,er ſaget ſinen levten,,er sagte sinen liiten,,er ſagete ſinen li#svo+ten,,,
1085,des engels rede zedute,des engels re#lde+ ze devten,,des cn gels wort zu düten,,deſ engels rede zed#sov+te,,,
1086,die rieten algemêine,ſi riet#aen+ algemeine,,d si riten alle geimeinene,,die rîeten algemaine,,,
1087,daz ſie furen ſêine,daz ſi f#sue+ren ſaine,,,,d#aaz+ ſie furen ſeine,,,
1088,,,,daz si vm weren engegene,,,,,
1089,alſo daz daz uihe mæhte gen,al#?s+ daz vihe mohte ga#^æ+en,,als daz vihe mohte gen,,alſe d#aaz+ fihe mahte gên,,,
1090,ſi ſprachen wolt er da beſten,ſi ſp#ara+chen wolt er da be ſt#^æ+n,,si spräche wolt ir da besten,,ſie ſprauchen wolter da biſten,,,
1091,daz m#suo+ſe ane ſie geſchehen,daz m#sve+ſt er ane ſei t#suo+n,,daz müezt ir an si tun ,,d#aaz+ m#svo+ſe er ane ſie t#svo+n,,,
1092,got begunden ſie iehen,,,,,,,,
1093,,ez were ein michel weiſt#suo+m,,ez were ein j michel missetun,,ez ware ein michil wiſt#svo+m,,,
1094,,daz er alſo t#^æ+t,,daz er also tete,,d#aaz+ er alſo tæte,,,
1095,,ſam im d#aer+ engel chundet het,,als im gekundel hete,,alſime gechundet hete,,,
1096,,,,der gewaltige böte,,der gewaltige bote,,,
1097,,,,si rifen vaste hin zu gote,,ſie r#sov+ften vaſte hin ze gote,,,
1098,ſiner grozen barmunge ,,,uffe sine barmimgc,,vf ſine barmunge,,,
1099,mit lobe ſprechen#lde+r zunge,,,mit wcinden zungen,,mit waeinenden zvngen,,,
1100,ſie fûren enal uerte,do f#svo+ren ſi mit aller verte,,si ren alle verte,,ſie furen enalverte,,,
1101,d#siv+ moſ ioh die herte,daz mos v#and+ auch die herte,,daz mos und di herte,,d#aaz+ moſ ioch die herte,,,
1102,bed#siv+ berge #avnd+ tal,peide perge v#and+ tal,,beide berge und tal,,baidiv berch v#and+ tal,,,
1103,daz vihe cherten ſie uberal,daz vihe cherten ſi vber al,,daz vihe karten si über al,,d#aaz+ #dv+fihe cherten ſie vber al,,,
1104,ſi waren in der einode,ſi waren inder ode,,si warn in der ode,,ſie waren inder ôde,,,
1105,enſamet fivmf manode,fvmf man#soe+de,,gewesen fünf manden,,f#^v+nf manode,,,
1106,,geweſen v#and+ mit riwen,,,,,,,
1107,,,,und ouch gebouet,,geweſin ioch gebvwen,,,
1108,,mit ſolhen misset#ari+wen,,mit solchem missetrüwen,,mit ſcholi#f4v+che[…] miſſetriwen,,,
1109,daz er botſchafte neheine,daz er botſchaft denhein,,daz er botschaft eine,,d#aaz+ er boteſchaft […]hein,,,
1110,noh boten ſante hin hêime,nie enbot wid#aer+ heim,,enpot hin j wider heime,,ni enbot hin wider heim,,,
1111,ſinem tûgendrichem wîbe,ſinem ſchonen weibe,,sime schonen wibe,,[…]n wibe,,,
1112,daz hete ſie zenide,daz het ſi ze neide,,daz het si zu nide,,,,,
1113,do ſie anir gebet ſtunt,#rD+o ſi an ir gebete ſt#suo+nt,,#f9v/C2+ do sv an irme gebete stunt,,do ſie an ir gebet[…] ſtv[…]t,,,
1114,als dicche die gvten t#suo+nt,ſam diche g#suo+te weip t#suo+nt,,'als dike gute kind''e tün',,ſo di[…]hint t#suo+nt,,,
1115,mit zæheren wol begozzen,mit zehern begozzen,,mit zeheren begozen,,mit z[…] begozzen,,,
1116,der engel unbedrozzen,d#aer+ engel vnv#aer+drozzen,,der engel unu#aer+drozen,,der eng[…] bedro[…]en,,,
1117,der chom ir aue zeſûne,chom ir auer ze lovne,,kom ir aber zu sune,,der chom ir aber zegeſune,,,
1118,bi des b#sov+mgarten zûne,bey des bovmgarten zovne,,bi des boumgarten zune,,bi deſ […]garten zvne,,,
1119,da lach ſie an ir chnîe,da ſi lak an ir chnie,,do SU lac an irme knie,,d[…] ſi lac […]n an ir […]ni,,,
1120,#lde+r engel zu ir gie,d#aer+ engel ir ekegen gie,,der engel zu ir gie,,der engil gegin ir gê,,,
1121,ir leit er ir gebuzte,ir lait er ir b#svo+zte,,ur leit er ir gebüßte,,ir lait er ir geb#svo+zte,,,
