Meisterzählung,D,A,B,C,E,F,G,W,Notizen
977,daz du im chundeſt gedienen,,,,,,,,
978,er wil #sov+h dich erchennen #avnd+ liebeN,,,,,,,,
979,#iD+er herre ilent gie,#iD+er herre eylinde gienk,,,,,,,
980,ein læmbel er geuîe,zehant er #f20r+ gevienk,,,,,,,
981,ein lamb ungemeiligot,ein lamp vngemailot,,,,,,,
982,als im #lde+r engil gebot,als im der engel gebot,,,,,,,
983,er ſprah ich engetorſtez niht getuN,er sp#ara+ch ich torſte ſein niht get#suo+n,,,,,,,
984,wan daz du mir rateſt darzu,wan daz dv mich herre darz#svo+,,,,,,,
985,#avnd+ mih ſîn haſt geſchund#&+,mit worten haſt geſchundet,,,,,,,
986,ſwaz ich nu han geſund#&+,ſwaz ich han geſvndet,,,,,,,
987,da hilf mir uon durh din gute,,,,,,,,
988,daz ich mit reinem gem#suo+te,,,,,,,,
989,,daz hilf mir ouf halden,,,,,,,
990,,gen got dem gewaldigen,,,,,,,
991,uor dir daz opfer bringe,vnz ich daz opfer bringe,,,,,,,
992,ia han ih #f17r+ des gedinge,ia iſt daz min gedinge,,,,,,,
993,daz ich geniezen m#suo+ze,daz ich geniezzen muezze,,,,,,,
994,daz ich dinen f#suo+zzen,daz ich bey deinem f#sue+zze,,,,,,,
995,alſo nahen biſten,hie alſo nahen stê,,,,,,,
996,untze die oblei ergeN,vnz daz obley er g#^æ+,,,,,,,
997,Do ſprah #lde+r engel g#suo+t,,,,,,,,
998,enweſſe ih niht in minem m#svo+t,,,,,,,,
999,daz din opfer liep wære,,,,,,,,
1000,,#rD+o ſp#ara+ch d#aer+ engel weſſe ich niht,,,,,,,
1001,,daz dine gedanke weren lieht,,,,,,,
1002,,v#and+ daz ez niht lieb wære,,,,,,,
1003,#lde+s himeles riht#^æ+re,dez himels rihtere,,,,,,,
1004,ſone hete ihz niht gefrum#&+,ſo hiet ich ez niht gefrumet,,,,,,,
1005,ſuſt wêiz ich daz ez dir chumet,Suſ waiz ich daz iz dir chumet,,,,,,,
1006,,als ez zerehte ſol,,,,,,,
1007,ze diner ſælicheit wol,dinen ſælden wol,,,,,,,
1008,wand unſer re#lde+ damit ſchol,,,,,,,,
1009,uf der moltigen erde,,,,,,,,
1010,geûrchundet #f17v+ werden,,,,,,,,
1011,do daz lamb was erſlagen,#rd+o daz lamp wart erſlagen,,,,,,,
1012,er ilet ſa holz zutragen,er eilte holz z#svo+ tragen,,,,#f4r+ […] tragen,,,
1013,#avnd+ leit ez uf einen ſtêin ,v#and+ warf ez #sov+f einen ſtain,,,,v#and+ warf ez vf ainen ſtain,,,
1014,er br#aan+t bediv fleiſh vn#lde+ bein,er prante fleiſch v#and+ pein,,,,er brande flaiſch v#and+ bain,,,
1015,do ſih #lde+r r#sov+ch uf bôvch,do ſich d#aer+ rouch ouf povk,,,,d#aaz+ ſich der r#sov+ch vf b#sov+ch,,,
1016,#lde+r engil aldamit fl#sov+ch,d#aer+ engel al da mit flouk,,,,der engel al da mite fl#sov+ch,,,
1017,,faſte gen den luften,,,,vaſte gen den l#sov+ften,,,
1018,,mit ſemft v#and+ mit zvht#aen+,,,,mit zæheren u#and+ mit zuhten,,,
1019,der herre geſtunt eîne,geſt#suo+nt der herre aleine,,,,geſtunt der herre eine,,,
1020,ſin herze was luter #avnd+ reine,mit louterm h#aer+zen reine,,,,ſin herze waſ luter u#and+ raine,,,
1021,#iS+in geb#&+ waſ im #avnd+ vnſ nutze,Sein gebet daz waz ſo nutze,,,,#iS+in gebet d#az+ waz ſo nvzze,,,
1022,mit zæhern uf ſin antlutze,#sov+f ſein antlvtze,,,,vf ſin antluzze ,,,
1023,viel er nider an daz graſ,viel er nid#aer+ ovf daz gras,,,,vil er nider uf daz graz,,,
1024,da er da opferend was,da er opfernde was,,,,da er opherende waſ,,,
1025,er lach bidem gecile,er lak bey dem zil,,,,er lach bi dem ge zile,,,
1026,uon der ſehſten wile,von d#aer+ sexten weil,,,,von der ſehſten wile,,,
1027,untze an die veſpercit,#f20v+ vnz an die veſper zeit,,,,vnze an die weſ#ape+rzit,,,
1028,ſo d#siv+ ſunne ſchatte git,ſo div ſunne ſchate geit,,,,ſô div ſunne ſchaten gît,,,
1029,do chomen ſin hirte,#rD+o quamen ſeine hirte,,,,#rD+o chomen ſine hyrten,,,
1030,hin zir herren #avnd+ ir wirte,z#svo+ ir herren v#and+ z#svo+ ir wirtte,,,,hin z#svo+ ir herren v#and+ z#svo+ ir wirete,,,
1031,ſi begunden gahen,ſi eilten alle gahen,,,,ilten ſie gahen,,,
1032,do ſi in erſahen,da ſi in da ſahen,,,,do ſie in ſahen,,,
1033,ligen inder molten,ligen inder molte,,,,nider ligen inder m#svo+lten,,,
1034,ſie wanden daz er wolte,ſi wanten daz er wolte,,,,ſie wanden d#aaz+ er wolte,,,
1035,ſih ſelben uerlieſen,ſich ſelben v#aer+lieſen,,,,ſich ſelben verlieſin,,,
1036,uor lei#lde+ den tot chieſen,vor laide den tot chieſen,,,,vor laide den tot kieſen,,,
1037,ſie ilten in ûfrihten,ſi eilten in #sov+f riht#aen+,,,,ſi ilten in vf rihten,,,
1038,er ſaget #sov+ch zir geſihte,er ſagte ze ir geſihten,,,,er ſagete #sov+ch ze ir geſichte,,,
1039,wie ez was ergangen,wie ez im waz ergangen,,,,wie ez ime ware ergangen,,,
1040,do wrden ſie beuangen,do wurden ſi bevangen,,,,do wrden ſie bevangen,,,
1041,mit fr#sov+den ioh mit uorhten,mit zeheren v#and+ mit vorihten,,,,mit ziteren i#sov+ch mit […]chten,,,
1042,an#lde+rs ſi nîen worhten,anders ſi niht worihten,,,,anderſ ſie nine worhten,,,
1043,wan daz ſie lobeten got,wan daz ſi lobt#aen+ got,,,,wan d#aaz+ ſie lobeten alle got,,,
1044,der uzzer angeſt #avnd+ not,der von ſorgen v#and+ ouz n#soe+t,,,,der uzzer angeſt v#and+ vzzer not,,,
1045,d#siv+ riwigen herze enbindet,die revgen h#aer+ze enbindet,,,,div rivwigen herze enbinden,,,
1046,ſwa er den gl#sov+ben vindet,ſwa er rehten gelawe vindet,,,,ſwa er den gel#sov+ben vindet,,,
1047,do was ez ir aller geræte,,,,,,,,
1048,daz er zehante ſa tæte,,,,,,,,
1049,nah den engeliſken worden,,,,,,,,
1050,,,,,,an den g#svo+ten u#and+ an den rehten,,,
1051,,#rD+o rieten dem man,,,,alle ſine knehte,,,
1052,,alle ſein vndertan,,,,die riêten dem hailigen man,,,
1053,,daz er des engels rat,,,,,,,
1054,,volget ander ſtat,,,,,,,
1055,,,,,,d#aaz+ er wrde gehorſam,,,
1056,,,,,,dem engil u#and+ ſinen worten,,,
1057,ſie ſprachen daz ſie uorhten,,,,,ſi ſprachen ſie vorhten,,,
1058,an#lde+rs d#aen+#ds+ gotes zorn,,,,,,,,
1059,ob er ſin gebot hete uerchorN,,,,,,,,
1060,,,,#f9r/C2+ [...] nicht mere,,,,,
1061,,,,,,anderſ harte,,,
1062,,,,er wurde gerau#dft+#zbet+ ſere,,er wrde gerefſet ſere,,,
1063,,,,andem [...] vnd ander ſele,,andem libe v#and+ ander ſele,,,
1064,als er des nahtes entſliefe,#rA+ls er des nahtes entſlief,,als er des nachtes entſlif,,#rA+lſ er deſ nahtes en ſlief,,,
1065,#f18r+ der engel im aue zurief,d#aer+ engel im aber z#svo+ rief,,d#aer+ e[...] im ab#aer+ rif,,der engil ime aver zv rief,,,
1066,wes ſumeſt du dih ioachim,wez ſovmeſt dv dich Ioachim,,wes ſumes tu dich ioachim,,weſ ſumeſtu dich ioachim,,,
1067,anderſtunt ih bot zedir bin,anderſtunt ich bote pin,,an ſ[...]ich bote bin,,anderſtunt ih bote bin,,,
1068,daz du heim mûzeſt uarn,daz dv heim ſolt varen,,daz du m#sue+ſt varn,,d#aaz+ dv heim m#svo+zeſt uaren,,,
1069,dune welleſt ez bewârn,,,du enwolles […]warn,,dv ne welliſt ez bewaren,,,
1070,,v#and+ ſolt dein weip bewaren,,,,,,,
1071,du engilteſt ſin zware,,,du m#sue+ſt des engelden,,dv m#svo+ſt ez en geltin,,,
1072,daz anna lebet ſo ſware,,,daz anna nich […] selden,,d#aaz+ anna ſo ſelten,,,
1073,#avnd+ ſo diche nah dir weinen#lde+ wirt,,,nach dir weinen wirt,,nah dir vnweinende wirt,,,
1074,,ſeit ez alſo wirt,,,,,,,
1075,du weiſt wol daz ſie dir gebirt,daz ſi dir gebirt,,du weiſt wol d[…] ſi gebirt,,dv waiſt wol d#aaz+ ſiv dir gebirt,,,
1076,eine tohter gute,eine toht#aer+ g#suo+te,,eine tochter gute,,aine tohter g#svo+te,,,
1077,d#siv+ iſt in gotes hûte,[...]iv iſt in gotes h#suo+te,,di iſt in gotis h[…],,div iſt ingotes h#svo+te,,,
1078,uon ewen #avnd+ ze êwen,,,von ewe zu ewen,,von ewen vnze ewen,,,
1079,wer ſchol dih diner eren flegeN,,,wi ſchal ich dich dines wrum#?+ vlehe[...],,wie ſol ih dih diner fr#sov+me ſo flehen,,,
1080,,maniger ſele ſol ſi wegen,,,,,,,
1081,,ze gotes g#sue+te v#and+ ze ſinem ſegen,,,,,,,
1082,#f18v+ #iA+n dem andern morgen,#iA+n dem andren morgen,,#iA+n deme andern morgen,,IN dem andern morgen,,,
1083,do uerliez alle ſorgen,do v#aer+liez er ſein ſorgen,,do v#aer+liz er alle ſorgen,,do ver liez er die ſorgen,,,
1084,er hub ſih #zvf+ gereit#aen+,er begunde ſich beraiten,,er hub ſich ouf bereite,,er h#svo+p ſih vf gereite,,,
1085,#avnd+ enwolt niht mere bêiten,#f21r+ niht leng#aer+ wolt er baiten,,er wolte nicht lenger beite,,er ne wolte niht baiten,,,
1086,er ſaget ſinem lîvte,er ſaget ſinen levten,,er ſagte ſinen l#sue+ten,,er ſagete ſinen li#svo+ten,,,
1087,des engels rede zedute,des engels re#lde+ ze devten,,des engels wort zu d#sue+te,,deſ engels rede zed#sov+te,,,
1088,die rieten algemêine,ſi riet#aen+ algemeine,,#dd+ ſi riten allege#?zmeine+ine,,die rîeten algemaine,,,
1089,daz ſie furen ſêine,daz ſi f#sue+ren ſaine,,,,d#aaz+ ſie furen ſeine,,,
1090,,,,daz si vm #swe+ren engegene,,,,,
1091,alſo daz daz uihe mæhte gen,al#ds+ daz vihe mohte ga#^æ+en,,als daz vihe mohte gen,,alſe d#aaz+ fihe mahte gên,,,
1092,ſi ſprachen wolt er da beſten,ſi ſp#ara+chen wolt er da be ſt#^æ+n,,ſi ſprach#aen+ wolt ir da beſten,,ſie ſprauchen wolter da biſten,,,
1093,daz m#suo+ſe ane ſie geſchehen,daz m#sve+ſt er ane ſei t#suo+n,,daz m#sue+zt ir an ſi tvn ,,d#aaz+ m#svo+ſe er ane ſie t#svo+n,,,
1094,got begunden ſie iehen,,,,,,,,
1095,,ez were ein michel weiſt#suo+m,,ez were ein michel miſſetun,,ez ware ein michil wiſt#svo+m,,,
1096,,daz er alſo t#^æ+t,,daz er alſo tete,,d#aaz+ er alſo tæte,,,
1097,,ſam im d#aer+ engel chundet het,,als im gekund[...] hette,,alſime gechundet hete,,,
1098,,,,der gewaltige bote,,der gewaltige bote,,,
1099,,,,ſi r#sie+fen vaste hin zu g[...],,ſie r#sov+ften vaſte hin ze gote,,,
1100,ſiner grozen barmunge ,,,uffe ſine barmunge,,vf ſine barmunge,,,
1101,mit lobe ſprechen#lde+r zunge,,,mit weinden zvngen,,mit waeinenden zvngen,,,
1102,ſie fûren enal uerte,do f#svo+ren ſi mit aller verte,,ſi w[...] alle verte,,ſie furen enalverte,,,
1103,d#siv+ moſ ioh die herte,daz mos v#and+ auch die herte,,daz mos und di herte,,d#aaz+ moſ ioch die herte,,,
1104,bed#siv+ berge #avnd+ tal,peide perge v#and+ tal,,beide berg vnd [...],,baidiv berch v#and+ tal,,,
1105,daz vihe cherten ſie uberal,daz vihe cherten ſi vber al,,daz vihe karten ſi uberal,,d#aaz+ #dv+fihe cherten ſie vber al,,,
1106,ſi waren in der einode,ſi waren inder ode,,ſi warn inder ode,,ſie waren inder ôde,,,
1107,enſamet fivmf manode,fvmf man#soe+de,,gew[...]ſen fvnf manden,,f#^v+nf manode,,,
1108,,geweſen v#and+ mit riwen,,,,,,,
1109,,,,vnd ouch geb#suo+wet,,geweſin ioch gebvwen,,,
1110,,mit ſolhen misset#ari+wen,,mit sulch[...] miſſetr#suo+wen,,mit ſcholi#f4v+che[…] miſſetriwen,,,
1111,daz er botſchafte neheine,daz er botſchaft denhein,,daz er botſchaft eine,,d#aaz+ er boteſchaft […]hein,,,
1112,noh boten ſante hin hêime,nie enbot wid#aer+ heim,,enpot hin widerheime,,ni enbot hin wider heim,,,
1113,ſinem tûgendrichem wîbe,ſinem ſchonen weibe,,ſime ſchonen wibe,,[…]n wibe,,,
1114,daz hete ſie zenide,daz het ſi ze neide,,daz het ſi zun[...],,,,,
1115,do ſie anir gebet ſtunt,#rD+o ſi an ir gebete ſt#suo+nt,,#f9v/C2+ [...]u an irme gebete ſtunt,,do ſie an ir gebet[…] ſtv[…]t,,,
1116,als dicche die gvten t#suo+nt,ſam diche g#suo+te weip t#suo+nt,,als dike gute kind#aer+ t#sve+nt,,ſo di[…]hint t#suo+nt,,,
1117,mit zæheren wol begozzen,mit zehern begozzen,,[...] zeheren begozen,,mit z[…] begozzen,,,
1118,der engel unbedrozzen,d#aer+ engel vnv#aer+drozzen,,der engel vnu#aer+drozen,,der eng[…] bedro[…]en,,,
1119,der chom ir aue zeſûne,chom ir auer ze lovne,,kom ir [...]r zuſvne,,der chom ir aber zegeſune,,,
1120,bi des b#sov+mgarten zûne,bey des bovmgarten zovne,,bi des boumgarten zune,,bi deſ […]garten zvne,,,
1121,da lach ſie an ir chnîe,da ſi lak an ir chnie,,do ſu lat an [...]me knie,,d[…] ſi lac […]n an ir […]ni,,,
1122,#lde+r engel zu ir gie,d#aer+ engel ir ekegen gie,,der engel zu ir gie,,der engil gegin ir gê,,,
1123,ir leit er ir gebuzte,ir lait er ir b#svo+zte,,ur leit er ir gebu#zr+te,,ir lait er ir geb#svo+zte,,,
1124,do er ſie mit liebe grûzte,do er ſei begr#suo+zte,,,,do e[…] ſi geg[…]te,,,
1125,,,,er ſi getroſte,,,,,
1126,er ſprah daz ſie gîenge,er sp#ara+ch daz ſi gienge,,er ſprach daz ſi ginge,,er ſprah d#aaz+ ſie ginge,,,
1127,#avnd+ ir charle wol enpfîenge,v#and+ wol ir man enpfienge,,und irn m#aan+ [...]phinge,,ir karelin wol enphinge,,,
1128,zeêiner borte hiez aurea,z#svo+ ein#aer+ porten die hiez aurea ,,zu einer phorten di h#sie+z antea,,z#svo+ ain[…] porte div h[…]z aur[…]a,,,
1129,#lde+r wirt begegenot ir da,der wirt begenet ir al da,,d#aer+ wirt [...]geinte ir alda,,der wirt begegen[…]te ir da,,,
1130,ane zwiuel an #lde+m tage,ane zweifel an dem tagen,,ane zwiuel andem tage,,zwiwel a[…] de[…] tage,,,
1131,do was ir truren #avnd+ ir chlage,do waz ir #f21v+ trovren v#and+ ir chlage,,daz was [...]r tr#suo+ren vnd ir clage,,do waſ ir […]rvren u#and+ ir clage,,,
1132,in#lde+n wint gahes uerſwnden,inden wint verſwunden,,indeme winde u#aer+ſwunden,,inden wint […]erſwnden,,,
1133,ſie waſ gefrig#&t+ #avnd+ enbundeN,ir h#ae+rze wart enbund#aen+,,[...]r h#aer+zce was enpunden,,ir herze was gef[…]get v#and+ enbunden,,,
1134,#f19r+ #iS+i gahet engegen dem burgetor,#rS+i gahte gen dem #rp+urgetor,,#iS+i gahte gein deme burgetor,,Sie gaheten gen dem burgetor,,,
1135,ir wirtes beitet ſie dauor,des wirttes baite ſi da vor,,des wirtes beitte [...] da vor,,deſ wirteſ […]te ſie da vor,,,
1136,mit des engeles geleite,,,mit des engels geleite,,m[…]ſ eng[…]s gelaite,,,
1137,ſi hete wol gewant ir arbêite,,,,,,,,
1138,uf eine h#soe+he ſie geſt#suo+nt,,,,,,,,
1139,als die getrîwen gerne t#suo+nt,,,,,,,,
1140,die liebe frivnte uf #lde+m wege hant,,,,,,,,
1141,unt dicke andie warte gânt,,,,,,,,
1142,,#sov+f einen perich ſt#suo+nt ſi h#soe+,,,,,,,
1143,,,,ſi wolte ur langez beiten,,ſi wolte ir langeſ baiten,,,
1144,,,,mit gebete vnt#aer+miſſchen,,[…] g[…]ete under miſgen,,,
1145,ir hiwiſk ſtalte ſie zen ſiten,,,ſi ſtalten ir hiuewizcen,,ſie ſt[…]ſch[…],,,
1146,,,,beidentalben zu den ſiten,,baid[…]nth[…] ſi[…],,,
1147,daz mære fl#sov+ch do wîten,,,daz mer vlog vil w#sei+ten,,[…] fl#sov+ch do wit[…],,,
1148,daz der herre chomen ſolte,,,,,,,,
1149,#avnd+ inda enpfahen wolte,,,,,,,,
1150,d#siv+ fr#sov+e uon des engeleſ lere,,,,,,,,
1151,#lde+s ge#^w+ndert ſere,,,,,,,,
1152,daz lîvt ioh die lantſcaft,,,,,,,,
1153,ſie lobeten die gotes chraft,,,,,,,,
1154,#avnd+ elliv ſiniv wn#lde+r,,,,,,,,
1155,d#siv+ erten ſie dar under,,,,,,,,
1156,frowe anna d#siv+ wart #sov+ch erwelt,,,,,,,,
1157,unt entikliche gezelt,,,,,,,,
1158,,,,ſi ſtunt vf einer h#soe+he,,ſie ſtu[…]ch […]ne h#sov+he,,,
1159,,daz ſi verre ſehe do,,daz ſi v#aer+re ſehe,,d[…] ſ[…] ſahe,,,
1160,,,,[...]d #swe+ite mochte geſchouwen,,v#and+ […] mahte ſch[…]en,,,
1161,,,,di vil edele vrouwe ,,diu […] fr#sov+we,,,
1162,,ſi viel nid#aer+ dikke,,[...] da nider dike,,div […]îl do nider diche,,,
1163,,mit manigem ovf pliche,,mit manigem vfblike,,[…]negem […]che,,,
1164,,wa er f#sue+re da her,,wo er [...]e daher,,w[…]r […] d[…]her,,,
1165,,da z#svo+ was ir vil ger,,dazu was ir vil ger,,dar z#svo+ waz ir vil ger,,,
1166,,die levte mit ſchalle,,,,,,,
1167,,,,di l#seu+te di da wa[...]n,,[…]ie d[…]en,,,
1168,,begunden fragen alle,,di bogonden alle vragen,,die b[…]nde[…]ll[…] fragen,,,
1169,,von wannen d#aer+ bote z#^æ+me,,,,,,,
1170,,der ſelben vr#sov+ chæme,,,,,,,
1171,,,,von der vrouwen [...]h#soe+ne,,wenne der frowen ſcho[…],,,
1172,,,,der gewiſſe bote queme,,der […] bote ch[…]e,,,
1173,,der ir hiet ovz genomen,,d#aer+ ir hette daz uz [...]numen,,der ir […]te d#aaz+ […] genomen,,,
1174,,wan ir man ſolde chomen,,wanne ir man ſcholde kumen,,d#aaz+ ir karele ſ[…] chomen,,,
1175,,do ſi deſ wurden innen,,do ſi da [...]urden inne,,do ſie do wrden innen,,,
1176,,daz von der gotes minnen,,daz vonder gotis ſtimme,,d[…]te[…] ſtimme,,,
1177,,div re#lde+ waz erſchellet,,di rede was erſchellet,,div […] wa[…] erſchellet,,,
1178,,anna wart gezellet,,anna wart gezelet,,[…]ellet,,,
1179,zedem allerbeſten wibe,z#svo+ dem beſte weibe,,zudem aller#f1r/C3+ beſten wibe,,z[…]em[…]ll[…]eſten wibe,,,
1180,d#siv+ iender w#^æ+re enlibe,die indiſem leibe,,di in dekeime libe,,[…]ſeme libe,,,
1181,,waz do bey den zeiten,,was bi den geziten,,[…]en […]ten,,,
1182,,nahen v#and+ weit#aen+,,,,,,,
1183,,mit maniger re#lde+ dar vnder,,,,,,,
1184,,lobten ſi goteſ wund#aer+,,,,,,,
1185,,,,ir war#dt+ten vnd biten,,[…] ir biten,,,
1186,,,,daz wart beſufzcet tife,,d#aaz+ w[…]t biſ#svo+ftet […]f,,,
1187,,,,got ſi ane rife,,[…]t ſie ane riefen,,,
1188,,,,alle ſine wunder,,elliv ſiniv wnder,,,
1189,,,,lobte ſi darunder,,lo[…]eten ſie darunder,,,
1190,,,,di ſi da v#aer+namen,,die ſie da vernamen,,,
1191,,,,lop ſi im gaben,,l[…]p ſie i[…] gaben,,,
1192,,v#and+ mit zeheren ſich beguzzen,,mit zehern ſi ſich v#aer+guzen,,mit […]n ſie ſich begvzzen,,,
1193,,die von ir h#aer+zen fluzzen,,die vondeme h#aer+zcen fluzen,,d[…] von den herzen flvz[…]n,,,
1194,ſchiere ſie do ſahen,vil ſchier ſi do ſahen,#f?+ [...] do ſahen,ſchire ſi do ſahen,,ſchiere ſie do […]en,,,
1195,zu in uber velt gahen,her vb#aer+ velt gahen,vbir velt gah[…],uber uelt gahen,,vber #dw+velt gahen,,,
1196,ioachim mit ſiner ſchâre,#rI+oachim v#and+ ſine ſchar,,ioachim vnd ſine ſchar,,ioachim u#and+ ſine ſchare,,,
1197,d#siv+ fr#sov+e h#suo+b ſich dare,div vrowe gahte dar,[...]rowe hub ſich dar,di vrouw gahte dar,,div frowe […] dare,,,
1198,umbe den halſ ſie ingevîe,vm den hals ſi in vienk,vmbe [...],vm den hals ſi vn gevinge,,vmbe den h[…]lſ ſie i[…]ge we,,,
1199,anſiner hande ſie gîe,an ſiner hant ſi gienk,[...]at ſi im gie,an ſiner hende ſi ginge,,an ſiner hende ſie g#zi+e,,,
1200,ſi chuſt#de+ in div rêine #avnd+ d#siv+ gvt,,,,,,,,
1201,mit vil frolichem m#suo+t,,,,,,,,
1202,,ſi halſt in v#and+ chuſte,ſi holſt in v#and+ [...],ſi halſte in vnd kuſte,,ſie […] vnde chvſte,,,
1203,,v#and+ drukte in z#svo+ ir bruſte,,ſi drukte in an ir bruſte,,ſie duhte in andie bruſte,,,
1204,,,[...]eluſten,,,,,,
1205,#avnd+ enpfieng in inneklich#aen+ wol,ſi enpfienk in min#f22r+ne chlichen wol,v#and+ enphiench in [...],vnd enphing in innenclichen wol,,v#and+ enpf[…]nch in inneclich[…],,,
1206,alſ liep herzelieben ſchol,,,,,,,,
1207,âne ſun#lde+ mæilige minne,,,,,,,,
1208,wan zegot stûn#dt+#lde+#zn+ ir ſinne,,,,,,,,
1209,#lde+r die gvten beruch#&+ ie,,,,,,,,
1210,d#siv+ menige im engegen gie,,,,,,,,
1211,,ſi waren bede frevden vol,[...]ediuſamt uol,ſi waren beideſament uol,,ſie […]en […]ſament vol,,,
1212,,,dez troſtes [...],des troſtes allermeiſt,,deſ troſteſ aller […]ſte,,,
1213,,,[...] geiſt,vondem heiligen geiſt,,[…]n gaiſtes,,,
1214,,al die menige,elliv div menige,alle di minen,,elliv di[…] menigi,,,
1215,,giengen in enkegene,di[...],tret im inkeine,,div trat ime engegene,,,
1216,#avnd+ hiez in willechomen ſin,v#and+ hiezzen in willechomen ſein,[...]zen in willechomen ſin,vnd hiz in willekumen ſin,,v#and+ hiez in willechomen ſin,,,
1217,do wart al #lde+r werlte ſchin,,,,,,,,
1218,daz ſin ie vil gut rat wirt,,,,,,,,
1219,derz ubel #f19v+ durh die warheit uerbirt,,,,,,,,
1220,,do tet got vil wol ſchein,da [...],do tet got wol ſchin,,do det got vil g#svo+t ſchin,,,
1221,,vor mannen v#and+ vor weiben,[...]annen vnd uor wiben ,vor mann#aen+ vnd vor wiben,,vo[…],,,
1222,,daz nieman ſein wund#aer+ chan vol ſchreiben,daz [...]iwen,daz nimant ſine g#sue+te mak volſcriben,,,,,
1223,#iR+vben den ewarte,#rR+vben den æwarten ,,#iR+ubin den ewarte,,,,,
1224,den maht do riwen harte,begun#lde+ riwen harte,[...]harte,den mochte r#sue+we harte,,,,,
1225,ſwaz er dem herren ie geſprah,ſwaz er dem h#aer+ren îe geſp#ara+ch,daz e[…],waz er dem h#aer+ren ie geſprach,,,,,
1226,do er die zeichen geſah,do er die zeichen ane ſach,,do er di zeichen ane ſach,,,,,
1227,d#siv+ zemaere waren cho#amen+,,,,,,,,
1228,vn#lde+ witen wrden uernomen,,,,,,,,
1229,inder iudiſgen diet,,,,,,,,
1230,wie in got mit kin#lde+ beriet ,,,,,,,,
1231,wie er in geruchte ſcheiden,,,,,,,,
1232,uon kumber #avnd+ in beiden,,,,,,,,
1233,nah m#suo+en fr#sov+de uerlech,,,,,,,,
1234,der in div werlte uerzêch,,,,,,,,
1235,,,,daz er nuwent bleip,,,,,
1236,,,,vnz er in wrder treip,,,,,
1237,,,,uz dem gotis huſe,,,,,
1238,,,,davor mocht im gruſe,,,,,
1239,,do er die gotes tovgen,,do er di gotis tougen,,,,,
1240,,an ſchowet mit den augen,,,,,,,
1241,,,,beschouwet an d#aer+ vrouwen,,,,,
1242,,an dem reinen weibe,,,,,,,
1243,,v#and+ an ir werden leibe,,,,,,,
1244,Nah den #f20r+ uierzich wochen,#rN+ach den vierzich wochen,,nach den virzig wochen,,,,,
1245,d#siv+ kamer wart entlochen,die chamer wart entlochen,,di kamere wart entſlozen,,,,,
1246,da div richeit inne was,da div reicheit inne lak,,da di richeit inne was,,,,,
1247,dauon #lde+r uerlorn menniſk gnas,,,,,,,,
1248,,div al d#aer+ werlde wak,,der alle di werlt genas,,,,,
1249,#avnd+ elliv gotes hantgetat,,,,,,,,
1250,leb#aen+ #avnd+ gnade enpfangen hat,,,,,,,,
1251,der wâz vil guter ſalben,,,,,,,,
1252,,d#aer+ ſmak d#aer+ ſ#sve+zzen ſalben ,,der ſmak vil guter ſalben,,,,,
1253,begun#lde+ do allenthalben,begunde allenthalben,,begonde da all#aen+thalben,,,,,
1254,#duz breiten+ uz breiten ſine ſ#suo+ze,ovz breit#aen+ ſin ſ#sve+zze,,uz breite ſine ſuze,,,,,
1255,den ſundæren zeb#suo+zze,den ſunderen zeb#svo+zze,,den ſvnden zu buze,,,,,
1256,zeeiner gewiſſen urſtende,z#svo+ einer gewizzen vrſtende ,,#f1v/C3+ zu einer gewiſſen urſtende,,,,,
1257,nah des libeſ ende,nach deſ leibes ende,,nach des libes ende,,,,,
1258,Der uater uil guter,,,der uater uil guter,,,,,
1259,und ir vil ediliv muter,,,vnd ir uil edele muter,,,,,
1260,,d#aer+ vat#aer+ v#and+ div m#suo+t#aer+,,,,,,,
1261,,wolten d#aer+ toht#aer+ g#suo+ter,,,,,,,
1262,die newolten die himelroſen,ir namen niht v#aer+b#soe+ſen,,di enwolten di edelen roſen,,,,,
1263,mit nam#aen+ niht uerboſen ,der edelen himelroſen,,mit namen nicht v#aer+boſen,,,,,
1264,ſi hiezen ſie marien,ſi hiezzen ſey #rMaRien+,,ſi h#sie+zen ſi marien,,,,,
1265,wand als daz honich die bigen,wan als daz honik die peien,,wanne als honik di bynen,,,,,
1266,uzem trore mugen vinden,ovz dem trore chan gewinnen,,uz dem trore mugen vinden,,,,,
1267,alſo kan ſie den kinden,,,,,,,,
1268,die ir dienent #avnd+ ge#zt+ruvent,,,,,,,,
1269,die wile ſie hie ener#lde+ buvent,,,,,,,,
1270,,als chan div chvniginne,,alſo kan di kuneginne,,,,,
1271,den heil triefenten fladen,den vil ſ#sve+zzen fladen,,den trifenden vladen,,,,,
1272,nah diſem libe fûrtragen,nach diſem leibe fur tragen,,nach diſme libe wrtragen,,,,,
1273,ſie kan #sov+ch die bitter der sunden,,,,,,,,
1274,ioh die totliche wnden,,,,,,,,
1275,mit ir g#suo+te wol uerdekeN,,,,,,,,
1276,nu ruche ſie unſ erweken,,,,,,,,
1277,,den hungergen ſælen,,der ungewegen ſe#dr+le,,,,,
1278,,an ir #f22v+ iſt lobes mere,,als ir iſt lobes mere,,,,,
1279,,danne denhein ſtimme,,danne kein ſtimme,,,,,
1280,,mvge immer fure bringen,,wr muge bringe,,,,,
1281,daz #zwir+ ſie uon herzen mêinen,,,,,,,,
1282,ſo mak ſie unſ gna#lde+ bescheineN,,,,,,,,
1283,#iD+o daz reine magdin wart geborn,,,,,,,,
